기온,강수량
-1.1,6.1
-1.1,7.9
1,5.2
1.2,0.9
1.3,0.9
10,
10,
10.1,
10.2,0
10.4,
10.4,19.7
10.5,
10.6,
10.6,
10.6,
10.6,0
10.7,0
10.8,
10.8,2
10.9,21.5
10.9,26.9
11,
11,
11.2,
11.2,5.4
11.3,
11.3,
11.3,
11.3,
11.3,
11.3,0.1
11.3,14.2
11.4,
11.4,
11.4,5.2
11.5,
11.5,
11.5,
11.6,19.6
11.6,22.4
11.7,
11.7,4
11.8,
11.8,0.2
11.9,
11.9,0.1
12.1,
12.2,
12.3,
12.3,
12.3,3.1
12.4,
12.5,10.4
12.5,57.8
12.6,
12.6,0.5
12.6,0.5
12.6,3.1
12.6,4.1
12.6,5.4
12.7,8.2
12.8,7.6
13,
13,
13,
13.1,
13.1,
13.2,4.4
13.3,
13.3,
13.3,
13.3,10.1
13.3,2.4
13.4,
13.6,
13.6,
13.6,0
13.6,34.5
13.7,
13.7,
13.8,
13.8,
13.9,
13.9,
13.9,
13.9,0
14,
14,
14.1,
14.1,
14.1,7.6
14.2,
14.2,6.2
14.3,
14.4,
14.4,
14.4,0.1
14.5,
14.5,
14.6,
14.8,
14.8,
15,
15.1,
15.2,
15.2,8.8
15.3,
15.5,
15.5,11.2
15.6,
15.6,
15.8,0
16.1,
16.2,
16.2,
16.2,0.5
16.3,
16.3,13.2
16.4,
16.5,
16.5,
16.5,
16.5,16.9
16.6,
16.7,
16.7,2.4
16.8,
16.9,
17,0
17,7.6
17.1,0
17.1,0.8
17.2,9.8
17.3,
17.3,0.2
17.4,
17.5,
17.5,
17.5,0
17.5,4.2
17.6,
17.6,
18,0
18.2,
18.3,
18.3,0.6
18.3,24.4
18.4,
18.4,
18.6,
18.6,0.4
18.8,0
18.8,15.6
18.9,
18.9,
19,
19,12.8
19.1,
19.1,2.8
19.2,
19.3,
19.4,3
19.5,
19.6,
19.7,
19.7,0
19.8,0
2.5,0
2.5,0.2
2.5,1.9
20.2,
20.2,
20.3,
20.6,2.9
20.7,
21,
21.1,7.1
21.4,
21.4,
21.4,
21.5,0
21.6,86.8
21.8,
22,
22,0.1
22.1,
22.1,0
22.2,16.4
22.5,2.1
22.7,1.2
22.9,
22.9,
22.9,63.8
23,27.9
23.1,0
23.1,17.6
23.1,57.7
23.3,155
23.4,
23.4,11.7
23.5,
23.5,
23.5,22.5
23.6,
23.7,1.5
23.7,6.1
23.9,89.6
24,
24,
24,
24,
24,8.9
24.1,
24.2,
24.2,0.3
24.2,21.8
24.3,
24.3,5.2
24.4,
24.4,34.8
24.4,35.7
24.5,
24.5,
24.5,
24.5,27.8
24.5,3.1
24.5,7.6
24.6,
24.6,
24.6,
24.7,
24.7,
24.7,
24.7,
24.7,0
24.8,0
24.9,
24.9,
24.9,0.2
25,37.8
25.1,
25.2,
25.2,0
25.2,6.8
25.3,
25.3,
25.4,
25.5,
25.5,
25.5,0.5
25.5,32
25.5,5.3
25.6,0
25.7,
25.7,0
25.7,13.8
25.7,5.3
25.8,
26,15.3
26.1,
26.1,0
26.2,1.3
26.2,13
26.3,
26.5,
26.9,0.5
27,1.3
27,12.9
27,13.4
27,155.3
27.1,0
27.2,0.2
27.3,
27.3,2.7
27.4,20.3
27.5,0
27.6,
27.6,2.6
27.7,
27.7,20.1
27.8,
27.8,0.1
27.8,25.6
27.9,
27.9,
27.9,
27.9,0
27.9,1.8
27.9,4.6
28,0
28,1.8
28.1,0
28.3,0
28.4,
28.4,0.4
28.4,0.9
28.4,14.5
28.5,
28.5,
28.8,15
28.9,
28.9,
29,
29,
29,
29,
29,0
29.1,
29.1,1.4
29.2,
29.3,
29.4,
29.5,
29.5,0.9
29.8,
29.9,
3.1,2
3.4,10.8
3.6,0
4,
4,0.6
4,0.7
4.1,
4.1,0.1
4.2,
4.5,
4.7,1.2
4.8,
4.9,0
5.1,
5.5,0
5.6,0
5.7,0
5.8,
5.9,
5.9,0
5.9,0.7
6.2,0.5
6.4,0.1
6.6,
6.6,0
6.9,
7,
7.1,0
7.2,
7.5,
7.5,0
7.5,0
7.6,
7.8,
8,0.1
8,1
8.5,
8.5,
9.1,1.1
9.2,
9.2,
9.2,
9.3,
9.3,0.4
9.7,
9.7,
9.8,
9.9,
9.9,
