"구분(1)",2021,2021,2021,2021,2021
"구분(1)",도보,승용차,자전거,택시,기타
"전체",92.1,5.0,1.6,0.9,0.3
"서울",91.3,5.3,2.1,1.0,0.3
"부산",92.6,5.1,1.2,1.0,0.1
"대구",91.8,5.0,1.9,0.9,0.4
"인천",91.8,5.3,1.7,0.9,0.2
"광주",91.2,6.3,1.4,0.8,0.3
"대전",92.3,5.3,1.2,1.0,0.2
"울산",92.5,5.0,1.5,0.7,0.3
"세종",92.5,5.2,1.0,1.3,0.0
"경기",92.1,5.0,1.7,0.9,0.3
"강원",92.6,4.7,1.5,1.1,0.1
"충북",92.7,4.6,1.6,0.8,0.3
"충남",92.7,4.9,1.1,0.9,0.3
"전북",92.6,4.4,1.7,1.0,0.2
"전남",93.7,3.9,1.4,0.7,0.2
"경북",92.6,4.8,1.4,0.9,0.3
"경남",92.2,5.1,1.5,0.9,0.3
"제주",93.4,3.5,1.3,1.4,0.3
